perimetro,sigma,peso_custeio,peso_capital,sigma_custeio,sigma_capital,formula,fonte
min,0.0823385030098401,1.0,0.0,0.0823385030098401,0.057638977842130915,"sigma = peso_custeio*sigma_custeio + peso_capital*sigma_capital; sigma_custeio = mix CI do governo geral (TRU 2021, F8); sigma_capital = w51*sigma_51 + w52*sigma_52 (w51=0.7370, participacao de 4.4.90.51/52 no capital de G, 3 esferas, media janela 2024-25 deflacionada, empenhadas, com natureza 36); pesos custeio/capital = composicao do perimetro nas 3 esferas",IBGE TRU 2021 nivel 68 (t_embutida por produto) x SICONFI DCA Anexo I-D (composicao de G); LC 214 art. 370 (iso-carga)
central,0.0823385030098401,1.0,0.0,0.0823385030098401,0.057638977842130915,"sigma = peso_custeio*sigma_custeio + peso_capital*sigma_capital; sigma_custeio = mix CI do governo geral (TRU 2021, F8); sigma_capital = w51*sigma_51 + w52*sigma_52 (w51=0.7370, participacao de 4.4.90.51/52 no capital de G, 3 esferas, media janela 2024-25 deflacionada, empenhadas, com natureza 36); pesos custeio/capital = composicao do perimetro nas 3 esferas",IBGE TRU 2021 nivel 68 (t_embutida por produto) x SICONFI DCA Anexo I-D (composicao de G); LC 214 art. 370 (iso-carga)
max,0.07675538192951656,0.7739583638788894,0.2260416361211106,0.0823385030098401,0.057638977842130915,"sigma = peso_custeio*sigma_custeio + peso_capital*sigma_capital; sigma_custeio = mix CI do governo geral (TRU 2021, F8); sigma_capital = w51*sigma_51 + w52*sigma_52 (w51=0.7370, participacao de 4.4.90.51/52 no capital de G, 3 esferas, media janela 2024-25 deflacionada, empenhadas, com natureza 36); pesos custeio/capital = composicao do perimetro nas 3 esferas",IBGE TRU 2021 nivel 68 (t_embutida por produto) x SICONFI DCA Anexo I-D (composicao de G); LC 214 art. 370 (iso-carga)
