chave,ano,cfam_rs_mi,pib_rs_mi,s,valor,formula,fonte
s_anual,2025,8081333.0,12738566.0,0.6343989582500887,0.6343989582500887,"s = Σ4tri consumo das famílias ÷ Σ4tri PIB (ano civil, nominais)","IBGE SIDRA t/1846 (SCN Trimestral) v/585 R$ mi correntes, c11255={90707 PIB pm; 93404 despesa de consumo das famílias}, 2015T1-2025T4; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/201501-202504/c11255/90707,93404?formato=json; coletado em 2026-07-12T19:34:16.904225+00:00; sha256 b1e9e1fa4d09846abd863bae25650fe9b351c5ced76bd2f294ce2858a4409520; cache data/raw/sidra/cnt_1846_decada.json"
s_corrente,2024-2025,15614910.0,24517817.0,0.6368801104927082,0.6368801104927082,"Σ8tri consumo das famílias ÷ Σ8tri PIB, 2024T1-2025T4","IBGE SIDRA t/1846 (SCN Trimestral) v/585 R$ mi correntes, c11255={90707 PIB pm; 93404 despesa de consumo das famílias}, 2015T1-2025T4; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/201501-202504/c11255/90707,93404?formato=json; coletado em 2026-07-12T19:34:16.904225+00:00; sha256 b1e9e1fa4d09846abd863bae25650fe9b351c5ced76bd2f294ce2858a4409520; cache data/raw/sidra/cnt_1846_decada.json"
s_min_decada,2021,,,0.6136799664275152,0.6136799664275152,mín{s_anual: 2015-2025} (ocorre em 2021),"IBGE SIDRA t/1846 (SCN Trimestral) v/585 R$ mi correntes, c11255={90707 PIB pm; 93404 despesa de consumo das famílias}, 2015T1-2025T4; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/201501-202504/c11255/90707,93404?formato=json; coletado em 2026-07-12T19:34:16.904225+00:00; sha256 b1e9e1fa4d09846abd863bae25650fe9b351c5ced76bd2f294ce2858a4409520; cache data/raw/sidra/cnt_1846_decada.json"
s_max_decada,2019,,,0.651440473852744,0.651440473852744,máx{s_anual: 2015-2025} (ocorre em 2019),"IBGE SIDRA t/1846 (SCN Trimestral) v/585 R$ mi correntes, c11255={90707 PIB pm; 93404 despesa de consumo das famílias}, 2015T1-2025T4; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/201501-202504/c11255/90707,93404?formato=json; coletado em 2026-07-12T19:34:16.904225+00:00; sha256 b1e9e1fa4d09846abd863bae25650fe9b351c5ced76bd2f294ce2858a4409520; cache data/raw/sidra/cnt_1846_decada.json"
fator_reescala_min,,,,,0.9635721956409586,s_min_decada ÷ s_corrente — multiplicar B_C e B_ISFLSF no cenário sens_base_pib_min,sens_base_pib.csv (t/1846)
fator_reescala_max,,,,,1.0228620161316884,s_max_decada ÷ s_corrente — multiplicar B_C e B_ISFLSF no cenário sens_base_pib_max,sens_base_pib.csv (t/1846)
delta_tau_aprox_min_pp,,,,,1.1851010767265329,Δτ ≈ −τ·Δs/s; Δs = s_min_decada − s_corrente; τ = soma central corrente (re-baselinável),sens_base_pib.csv + aferir_nacional.csv
delta_tau_aprox_max_pp,,,,,-0.7437670320934006,Δτ ≈ −τ·Δs/s; Δs = s_max_decada − s_corrente; τ = soma central corrente (re-baselinável),sens_base_pib.csv + aferir_nacional.csv
tau_central_corrente_pp,,,,,32.5328714584576,"soma_pp do cenário central (γ=0,125; ψ=0; iso_carga; proxy_ipi_rfb; liquida_rtn) — sujeito a re-baseline do painel nacional",data/processed/aferir_nacional.csv
identidade_estacionariedade,,,,,1.0,τ_2033/τ_2024-25 = (base/PIB)_2024-25 ÷ (base/PIB)_2033 — sob a hipótese de participação estável da base no PIB a razão vale 1,"hipótese nomeada (plano de revisão E4); séries: IBGE SIDRA t/1846 (SCN Trimestral) v/585 R$ mi correntes, c11255={90707 PIB pm; 93404 despesa de consumo das famílias}, 2015T1-2025T4; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/201501-202504/c11255/90707,93404?formato=json; coletado em 2026-07-12T19:34:16.904225+00:00; sha256 b1e9e1fa4d09846abd863bae25650fe9b351c5ced76bd2f294ce2858a4409520; cache data/raw/sidra/cnt_1846_decada.json"
