ano,serie,x,y,formula,fonte
2024,lorenz,0.0034296028880866428,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.0036101083032490976,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.0037906137184115524,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.003971119133574007,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.004151624548736462,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.004332129963898917,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.004512635379061372,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.004693140794223827,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.0048736462093862815,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.005054151624548736,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.005234657039711191,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.005415162454873646,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.005595667870036101,0.0,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
2024,lorenz,0.005776173285198556,5.7012196691181086e-08,cumsum(ISS asc)/total vs rank/n,"SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0; declarantes, ex-DF (nao e municipio); ISS liquido = bruta - deducoes_outras"
