uf,f_low_legal,share_familias_elegiveis,share_pessoas_elegiveis,formula,fonte
MG,0.03793266619207652,0.08606973109742533,0.122007200245399,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
MS,0.029450764710351632,0.06544466913585878,0.09390849635461078,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
MT,0.04665137328190892,0.10597621885345651,0.14048351824999922,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
PA,0.18177628231164358,0.31569265592050766,0.40118851659663607,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
PB,0.13573346065564057,0.29736117613333574,0.3726213114487262,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
PE,0.09935212635375025,0.22846559578517844,0.2972462861054339,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
PI,0.12182206389246589,0.24567570615496656,0.3028607583919419,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
PR,0.02803827800735666,0.08647411668599278,0.1188960166837828,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
RJ,0.0432749751288026,0.11023812817710368,0.15742840760408336,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
RN,0.09282395702912787,0.20900238278173397,0.26661387501956985,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
RO,0.07016426239988477,0.16172233054701257,0.19164718210993892,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
RR,0.14138381016308307,0.25963919285848647,0.341303628038287,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
RS,0.016658991015959104,0.04305507186566121,0.06430082691649572,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
SC,0.016437633162096885,0.03423360608032868,0.05484372595391618,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
SE,0.06438338380260838,0.1589032203338283,0.21451604171533006,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
SP,0.021677660503737973,0.057487667309325356,0.08715833741405929,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
TO,0.15038490479962352,0.25840331324294347,0.32650567933368435,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
