uf,ano,icms_bruto,deducao_fundeb_rreo,iss_df,dca_icms_bruta,dca_fecp_bruta,dca_outras_deducoes,desvio_rreo_dca_pct,formula,fonte
CE,2024,20202084845.36,5935393999.86,0.0,19942107760.57,294198692.61,34221607.82,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
CE,2025,21447585488.26,6438668858.96,0.0,21227268364.23,242717625.2,22400501.17,-1.778613852693625e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
DF,2024,11716571022.7,3161198167.52,3472401821.22,11618930329.17,99663888.56,2023195.03,1.6279068586851492e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
DF,2025,12598092679.95,3378160052.62,3862618982.16,12495978651.6,102870659.48,756631.13,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
ES,2024,20888555332.12,3943506663.16,0.0,20804357747.13,93811827.41,9614242.42,-1.826214022450466e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
ES,2025,22615846716.82,4343754398.49,0.0,22519755234.49,105362495.84,9271013.51,-1.6867364345850066e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
GO,2024,29215644409.71,6047826806.42,0.0,28830085210.35,488842102.28,103282902.92,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
GO,2025,30532863822.63,6323059579.4,0.0,30158958605.76,483804047.45,109898830.58000001,1.2493742112712226e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
MA,2024,13870071546.37,4877191244.36,0.0,13654153518.91,215918027.46,0.0,1.3751541413726025e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
MA,2025,15813244157.58,5409219825.14,0.0,15564067525.43,249176632.15,0.0,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
