uf,B_C,B_ISFLSF,B_FBCF_NC,B_ord,pi_p,f_low,share_piso
AC,15.29563609891595,0.65637339050744,0.07768897652327683,16.029698465946666,0.24671040669028288,0.25067279300081086,0.08270075554220153
AL,45.012892234830474,2.3904860421509353,0.6386027285704274,48.04198100555183,0.3040001475218306,0.29798121597821003,0.09056008189909588
AM,55.13714506294667,3.2074667067605045,5.9022271886994195,64.2468389584066,0.2938631706115624,0.28352825516974567,0.11976588752133042
AP,16.436959472800268,0.5985900704589121,0.05272051808689453,17.088270061346073,0.29007367957039465,0.2445682724875584,0.08664147368404197
BA,320.796062632366,11.037060928558144,8.154851944384056,339.9879755053082,0.29284945918758676,0.17993516131472623,0.07577517747000381
CE,149.43491537801705,6.879251391244203,2.74231058074456,159.05647735000582,0.31377989782645976,0.23112141974723344,0.08598014204611788
DF,154.79446162137168,2.224272995570141,0.33374901180509237,157.3524836287469,0.21877123509962984,0.03371284563757703,0.07051411367397754
ES,100.53794591707091,3.0629160037961296,4.459011442472942,108.05987336333999,0.2345140415809283,0.09011072246309594,0.10242363465710631
GO,204.43742375767502,5.509754420763385,7.43091644731057,217.378094625749,0.2385684188739276,0.07325645998054783,0.0891726735157424
MA,100.76459959558444,5.208856622967044,1.398530798409704,107.3719870169612,0.28608290946450227,0.3502272114783072,0.08620882419599588
MG,592.1615443796195,15.87803029018431,24.66860400813697,632.7081786779407,0.254181262157124,0.0780550365983875,0.08544095676964847
MS,84.04587779031064,2.1706362994906723,3.482803648966673,89.69931773876797,0.21952376274814114,0.06770295422178552,0.08466710543518494
MT,101.83978908862194,2.889840654509424,5.1885248418019465,109.91815458493332,0.20068609156471537,0.08699128259352815,0.08776824149106875
PA,137.4652848441497,6.465375717339365,6.507350157782218,150.43801071927126,0.2712444304193721,0.2955308188711618,0.08528101737792529
PB,67.06110114300186,3.0908327952713766,0.6202451172516948,70.77217905552494,0.2874778443699658,0.2192232674356264,0.09424884081840142
PE,191.73954457535206,7.094360756727022,4.49447149306678,203.32837682514585,0.2848771288829938,0.17700425877069342,0.07486332959953328
PI,54.37601735970121,2.511982050225227,0.41461419089647306,57.30261360082291,0.32789844269150514,0.23242676370729418,0.08170281999965645
PR,380.15744429264527,8.82504077263454,16.618374151609714,405.60085921688955,0.18768701109016664,0.05815599474388785,0.07994970522120114
RJ,456.4272086440803,12.783170363777062,17.91968138117912,487.1300603890365,0.281042790178684,0.08672409105323879,0.10527610505071448
RN,83.12525215851687,2.5644468259096453,1.1490536260819428,86.83875261050845,0.2726221108441724,0.17082985356682145,0.07673480908218205
RO,32.81182332556528,1.3002824167878557,0.6519536437964479,34.76405938614958,0.21152589621636408,0.14536034870709694,0.0949095559379656
RR,7.3163197773170605,0.5483103065813509,0.020807871760620423,7.885437955659032,0.25193892154134406,0.21216349704386758,0.12017881802582485
RS,387.8181198186124,8.33723243360461,16.279656304639122,412.4350085568561,0.24076101620483406,0.048376394721173735,0.09109435889683459
SC,224.69721660520224,6.076343419864871,11.96394764862122,242.73750767368836,0.21874634102825108,0.05119779931329522,0.08637629515429056
SE,58.25824700038923,1.7066137139886497,0.593712837908498,60.55857355228638,0.2784105427058466,0.13417853787770442,0.07555380583419137
SP,1746.5277662589538,34.20152148989242,67.18533224501176,1847.914619993858,0.2421486821819802,0.04464156656274516,0.0764347205547379
TO,21.15089995628768,1.1777532781309739,0.6204023224060115,22.949055556824668,0.22005025788248447,0.26383204739655586,0.12015553106196403
