uf,ano,receita_adrem_estimada,share_do_icms,vol_gasolina_c_m3,vol_oleo_diesel_m3,vol_glp_m3,formula,fonte
CE,2024,3889295559.8963413,0.19251951418220242,1597260.595,1233275.194,540878.61594,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
CE,2025,4346681819.725377,0.2026653220291239,1679805.518,1320793.918,543528.73007,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
DF,2024,1843708382.5512998,0.15735904122283298,948992.307,396840.713,173096.18660000002,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
DF,2025,2055469102.2993226,0.16315716628840363,1002021.969,405469.233,178828.44383,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
ES,2024,2998613960.3940945,0.14355296059096886,989895.844,1363672.619,278738.86957,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
ES,2025,3256008414.647118,0.14397021944022723,1035754.013,1363127.545,288481.17754,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
GO,2024,6175671225.895547,0.21138233815041316,1490423.225,3491928.22,601276.73188,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
GO,2025,7032443272.239221,0.230323736191002,1642754.045,3724297.83,616468.25544,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
MA,2024,3597635681.4922805,0.2593811913272959,1115898.295,1723891.763,339220.30072,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
MA,2025,3933908750.1216803,0.2487730354960706,1143608.575,1784678.058,352102.07246,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
