perfil,gamma,lambda_por_classe,tau_CBS_pp,tau_E_pp,tau_M_pp,soma_pp,beneficios_suprimidos_rs_bi_trava,beneficios_suprimidos_rs_bi_central,cv_vetor_E,cv_vetor_M,status,formula,fonte
P1_uniforme,0.1,"{""alimentos_60"":0.6037087440490723,""cesta_aliquota_zero"":0.6037087440490723,""demais_60"":0.6037087440490723,""educacao_60"":0.6037087440490723,""reducao_30"":0.6037087440490723,""reducao_40_especificos"":0.6037087440490723,""reducao_70_imoveis"":0.6037087440490723,""saude_60"":0.6037087440490723,""zfm"":0.6037087440490723}",11.022706934714433,13.15507145064985,2.32222104521036,26.499999430574643,210.76775335300186,251.5627677918795,0.33413280629482983,0.48023784921438484,factivel,"m_i(λ_c)=m_i+λ_c·(1−m_i) i∉F (λ_c por classe — gaps.classifica_regime); zfm(λ_zfm)=0,13·(1−λ_zfm); cashback recomputado; bisseção do grau t do perfil t.q. Σ_s τ_s=26,5% (tol 1e-6); custo_trava=Σ_s τ_s(λ*)·[D_s(λ*)−D_s(0)]; custo_central=Σ_s τ_s(0)·[D_s(λ*)−D_s(0)]; cv=dp(ddof=1)÷média do vetor indicativo por UF","LC 214/2025, art. 475, §§10-11; matriz_pof_ibs_v5.csv × POF 2017-2018; construção B (ψ=0, iso-carga) — AFERIR, perfis E3 do parecer"
P1_uniforme,0.125,"{""alimentos_60"":0.7100739479064941,""cesta_aliquota_zero"":0.7100739479064941,""demais_60"":0.7100739479064941,""educacao_60"":0.7100739479064941,""reducao_30"":0.7100739479064941,""reducao_40_especificos"":0.7100739479064941,""reducao_70_imoveis"":0.7100739479064941,""saude_60"":0.7100739479064941,""zfm"":0.7100739479064941}",11.022856614232508,13.154943889648136,2.3221985272906482,26.49999903117129,241.0159579206037,295.884678552452,0.33291673398748256,0.4814546265492449,factivel,"m_i(λ_c)=m_i+λ_c·(1−m_i) i∉F (λ_c por classe — gaps.classifica_regime); zfm(λ_zfm)=0,13·(1−λ_zfm); cashback recomputado; bisseção do grau t do perfil t.q. Σ_s τ_s=26,5% (tol 1e-6); custo_trava=Σ_s τ_s(λ*)·[D_s(λ*)−D_s(0)]; custo_central=Σ_s τ_s(0)·[D_s(λ*)−D_s(0)]; cv=dp(ddof=1)÷média do vetor indicativo por UF","LC 214/2025, art. 475, §§10-11; matriz_pof_ibs_v5.csv × POF 2017-2018; construção B (ψ=0, iso-carga) — AFERIR, perfis E3 do parecer"
P1_uniforme,0.15,"{""alimentos_60"":0.822695255279541,""cesta_aliquota_zero"":0.822695255279541,""demais_60"":0.822695255279541,""educacao_60"":0.822695255279541,""reducao_30"":0.822695255279541,""reducao_40_especificos"":0.822695255279541,""reducao_70_imoveis"":0.822695255279541,""saude_60"":0.822695255279541,""zfm"":0.822695255279541}",11.02300817947406,13.154818578462542,2.3221764065234995,26.500003164460107,271.2639835723959,342.813480022322,0.33198027086528575,0.48275996488553896,factivel,"m_i(λ_c)=m_i+λ_c·(1−m_i) i∉F (λ_c por classe — gaps.classifica_regime); zfm(λ_zfm)=0,13·(1−λ_zfm); cashback recomputado; bisseção do grau t do perfil t.q. Σ_s τ_s=26,5% (tol 1e-6); custo_trava=Σ_s τ_s(λ*)·[D_s(λ*)−D_s(0)]; custo_central=Σ_s τ_s(0)·[D_s(λ*)−D_s(0)]; cv=dp(ddof=1)÷média do vetor indicativo por UF","LC 214/2025, art. 475, §§10-11; matriz_pof_ibs_v5.csv × POF 2017-2018; construção B (ψ=0, iso-carga) — AFERIR, perfis E3 do parecer"
P2_protege_essenciais,0.1,"{""alimentos_60"":1.0,""cesta_aliquota_zero"":0.0,""demais_60"":1.0,""educacao_60"":0.0,""reducao_30"":1.0,""reducao_40_especificos"":1.0,""reducao_70_imoveis"":1.0,""saude_60"":0.0,""zfm"":1.0}",12.018967535095085,14.345552814725298,2.5323727641088674,28.896893113929256,112.27482194618841,122.8907531850625,0.3257024034161262,0.4683588797785938,infactivel,"m_i(λ_c)=m_i+λ_c·(1−m_i) i∉F (λ_c por classe — gaps.classifica_regime); zfm(λ_zfm)=0,13·(1−λ_zfm); cashback recomputado; bisseção do grau t do perfil t.q. Σ_s τ_s=26,5% (tol 1e-6); custo_trava=Σ_s τ_s(λ*)·[D_s(λ*)−D_s(0)]; custo_central=Σ_s τ_s(0)·[D_s(λ*)−D_s(0)]; cv=dp(ddof=1)÷média do vetor indicativo por UF","LC 214/2025, art. 475, §§10-11; matriz_pof_ibs_v5.csv × POF 2017-2018; construção B (ψ=0, iso-carga) — AFERIR, perfis E3 do parecer"
P2_protege_essenciais,0.125,"{""alimentos_60"":1.0,""cesta_aliquota_zero"":0.0,""demais_60"":1.0,""educacao_60"":0.0,""reducao_30"":1.0,""reducao_40_especificos"":1.0,""reducao_70_imoveis"":1.0,""saude_60"":0.0,""zfm"":1.0}",12.362366607526374,14.755425752288879,2.6047262716548345,29.722518631470084,112.27482194618824,122.89075318506227,0.3257024034161262,0.46835887977859386,infactivel,"m_i(λ_c)=m_i+λ_c·(1−m_i) i∉F (λ_c por classe — gaps.classifica_regime); zfm(λ_zfm)=0,13·(1−λ_zfm); cashback recomputado; bisseção do grau t do perfil t.q. Σ_s τ_s=26,5% (tol 1e-6); custo_trava=Σ_s τ_s(λ*)·[D_s(λ*)−D_s(0)]; custo_central=Σ_s τ_s(0)·[D_s(λ*)−D_s(0)]; cv=dp(ddof=1)÷média do vetor indicativo por UF","LC 214/2025, art. 475, §§10-11; matriz_pof_ibs_v5.csv × POF 2017-2018; construção B (ψ=0, iso-carga) — AFERIR, perfis E3 do parecer"
P2_protege_essenciais,0.15,"{""alimentos_60"":1.0,""cesta_aliquota_zero"":0.0,""demais_60"":1.0,""educacao_60"":0.0,""reducao_30"":1.0,""reducao_40_especificos"":1.0,""reducao_70_imoveis"":1.0,""saude_60"":0.0,""zfm"":1.0}",12.7259656253948,15.189408862650314,2.681335867879977,30.59671035592509,112.27482194618808,122.89075318506207,0.3257024034161262,0.468358879778594,infactivel,"m_i(λ_c)=m_i+λ_c·(1−m_i) i∉F (λ_c por classe — gaps.classifica_regime); zfm(λ_zfm)=0,13·(1−λ_zfm); cashback recomputado; bisseção do grau t do perfil t.q. Σ_s τ_s=26,5% (tol 1e-6); custo_trava=Σ_s τ_s(λ*)·[D_s(λ*)−D_s(0)]; custo_central=Σ_s τ_s(0)·[D_s(λ*)−D_s(0)]; cv=dp(ddof=1)÷média do vetor indicativo por UF","LC 214/2025, art. 475, §§10-11; matriz_pof_ibs_v5.csv × POF 2017-2018; construção B (ψ=0, iso-carga) — AFERIR, perfis E3 do parecer"
P3_regressividade,0.1,"{""alimentos_60"":1.0,""cesta_aliquota_zero"":0.1542649269104004,""demais_60"":0.0,""educacao_60"":1.0,""reducao_30"":1.0,""reducao_40_especificos"":1.0,""reducao_70_imoveis"":1.0,""saude_60"":1.0,""zfm"":0.0}",11.021984447539866,13.155684834284434,2.322329323784928,26.499998605609225,210.76760551173288,251.5625482209091,0.36085787790928414,0.4699660490917102,factivel,"m_i(λ_c)=m_i+λ_c·(1−m_i) i∉F (λ_c por classe — gaps.classifica_regime); zfm(λ_zfm)=0,13·(1−λ_zfm); cashback recomputado; bisseção do grau t do perfil t.q. Σ_s τ_s=26,5% (tol 1e-6); custo_trava=Σ_s τ_s(λ*)·[D_s(λ*)−D_s(0)]; custo_central=Σ_s τ_s(0)·[D_s(λ*)−D_s(0)]; cv=dp(ddof=1)÷média do vetor indicativo por UF","LC 214/2025, art. 475, §§10-11; matriz_pof_ibs_v5.csv × POF 2017-2018; construção B (ψ=0, iso-carga) — AFERIR, perfis E3 do parecer"
P3_regressividade,0.125,"{""alimentos_60"":1.0,""cesta_aliquota_zero"":0.40103864669799805,""demais_60"":0.0,""educacao_60"":1.0,""reducao_30"":1.0,""reducao_40_especificos"":1.0,""reducao_70_imoveis"":1.0,""saude_60"":1.0,""zfm"":0.0}",11.022306834121313,13.155412804721367,2.3222813033101897,26.500000942152873,241.01574686293804,295.8843510083602,0.3572000424780778,0.47481055911553194,factivel,"m_i(λ_c)=m_i+λ_c·(1−m_i) i∉F (λ_c por classe — gaps.classifica_regime); zfm(λ_zfm)=0,13·(1−λ_zfm); cashback recomputado; bisseção do grau t do perfil t.q. Σ_s τ_s=26,5% (tol 1e-6); custo_trava=Σ_s τ_s(λ*)·[D_s(λ*)−D_s(0)]; custo_central=Σ_s τ_s(0)·[D_s(λ*)−D_s(0)]; cv=dp(ddof=1)÷média do vetor indicativo por UF","LC 214/2025, art. 475, §§10-11; matriz_pof_ibs_v5.csv × POF 2017-2018; construção B (ψ=0, iso-carga) — AFERIR, perfis E3 do parecer"
P3_regressividade,0.15,"{""alimentos_60"":1.0,""cesta_aliquota_zero"":0.6623291969299316,""demais_60"":0.0,""educacao_60"":1.0,""reducao_30"":1.0,""reducao_40_especificos"":1.0,""reducao_70_imoveis"":1.0,""saude_60"":1.0,""zfm"":0.0}",11.022628361436174,13.15513973661258,2.3222330995044276,26.500001197553182,271.2639698228186,342.8134496480865,0.35423372203873216,0.47995622025495915,factivel,"m_i(λ_c)=m_i+λ_c·(1−m_i) i∉F (λ_c por classe — gaps.classifica_regime); zfm(λ_zfm)=0,13·(1−λ_zfm); cashback recomputado; bisseção do grau t do perfil t.q. Σ_s τ_s=26,5% (tol 1e-6); custo_trava=Σ_s τ_s(λ*)·[D_s(λ*)−D_s(0)]; custo_central=Σ_s τ_s(0)·[D_s(λ*)−D_s(0)]; cv=dp(ddof=1)÷média do vetor indicativo por UF","LC 214/2025, art. 475, §§10-11; matriz_pof_ibs_v5.csv × POF 2017-2018; construção B (ψ=0, iso-carga) — AFERIR, perfis E3 do parecer"
