uf,ano,iss_liquida,n_declarantes,n_universo,cobertura_pct,iss_imputado,formula,fonte
MG,2024,10559890853.35,852,853,99.88,2227255.7669046144,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
MS,2024,1675246645.8300002,79,79,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
MT,2024,2357471794.7799997,139,142,97.89,6428825.627098062,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
PA,2024,2932433734.57,140,144,97.22,9258898.5303454,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
PB,2024,1004616660.15,221,223,99.1,519387.6418468256,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
PE,2024,3170234729.9300003,184,184,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
PI,2024,876518440.6700001,223,224,99.55,342920.2812723624,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
PR,2024,7063062459.31,396,399,99.25,1481526.0022122257,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
RJ,2024,14339242676.960003,92,92,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
RN,2024,1253519598.54,165,167,98.8,912453.4917404391,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
