uf,ano,iss_liquida,n_declarantes,n_universo,cobertura_pct,iss_imputado,formula,fonte
MS,2025,1844893555.54,79,79,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
MT,2025,2585014849.07,133,142,93.66,22773910.668525547,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
PA,2025,2850935792.1900005,124,144,86.11,135026732.6624854,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
PB,2025,1158248686.26,216,223,96.86,4250646.194719355,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
PE,2025,3631330305.4400005,183,184,99.46,1999410.2500632058,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
PI,2025,980251916.13,217,224,96.88,3968848.291064445,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
PR,2025,7954984056.630001,370,399,92.73,114593619.29307655,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
RJ,2025,15632513003.169998,86,92,93.48,173165209.6013693,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
RN,2025,1347827559.8899999,166,167,99.4,425787.20594111277,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
RO,2025,633680145.4,52,52,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
RR,2025,243579092.49,14,15,93.33,2459962.1408527843,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
RS,2025,6149528475.34,497,497,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
SC,2025,5713373174.789999,292,295,98.98,3776754.2351045655,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
SE,2025,882588618.5799998,75,75,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
SP,2025,68456824076.49001,639,645,99.07,13882298.032941336,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
TO,2025,658136827.08,124,139,89.21,13382098.291064741,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
