uf,sigla,taxa_media_pct,n_trimestres,formula,fonte
31,MG,36.5875,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
50,MS,31.925,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
51,MT,34.875,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
15,PA,56.9,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
25,PB,49.875,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
26,PE,48.5,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
22,PI,53.5,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
41,PR,31.5125,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
33,RJ,37.725,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
24,RN,41.725,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
11,RO,45.8,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
14,RR,43.7,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
43,RS,31.6625,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
42,SC,25.9625,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
28,SE,49.225,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
35,SP,30.075,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
17,TO,41.9375,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
