componente,p5,p50,p95,largura,formula,fonte
pi_p_nacional,0.2474336417951398,0.2505528133226507,0.2537316460767142,0.006298004281574426,"Σ w_b·d_i·(1−m_i) / Σ w_b·d_i, itens em campo ex-combustíveis","IBGE POF 2017-2018, microdados (desenho ESTRATO_POF × COD_UPA); matriz data/inputs/matriz_pof_ibs_v5.csv; bootstrap Rao-Wu (1988), m_h = n_h−1; bootstrap Rao-Wu UPA×ESTRATO_POF, B=500, seed 42"
f_low_nacional,0.09402266171807795,0.09678714621313811,0.099467366095919,0.005444704377841045,"share dos decis populacionais 1-3 na despesa (ex-aluguel imputado), decis recomputados por réplica","IBGE POF 2017-2018, microdados (desenho ESTRATO_POF × COD_UPA); matriz data/inputs/matriz_pof_ibs_v5.csv; bootstrap Rao-Wu (1988), m_h = n_h−1; bootstrap Rao-Wu UPA×ESTRATO_POF, B=500, seed 42"
tau_CBS_pp,13.485048493097429,13.535362261046119,13.588869743393944,0.1038212502965159,"τ_U(b) = (Alvo_U − σ̂·G_U)/D_U(π^p_uf(b), f_low_uf(b))","IBGE POF 2017-2018, microdados (desenho ESTRATO_POF × COD_UPA); matriz data/inputs/matriz_pof_ibs_v5.csv; bootstrap Rao-Wu (1988), m_h = n_h−1; bootstrap Rao-Wu UPA×ESTRATO_POF, B=500, seed 42; PROPAGA SÓ π^p_uf e f_low_uf — demais insumos fixos no central γ=12,5%, ψ=0, iso-carga (cota inferior da incerteza amostral POF); fontes centrais: MANIFEST_RUN.json"
tau_E_pp,16.096380489665908,16.156801205952817,16.21987453296163,0.12349404329572167,"τ_E(b) = (Alvo_E − σ̂·G_E)/D_E(π^p_uf(b), f_low_uf(b))","IBGE POF 2017-2018, microdados (desenho ESTRATO_POF × COD_UPA); matriz data/inputs/matriz_pof_ibs_v5.csv; bootstrap Rao-Wu (1988), m_h = n_h−1; bootstrap Rao-Wu UPA×ESTRATO_POF, B=500, seed 42; PROPAGA SÓ π^p_uf e f_low_uf — demais insumos fixos no central γ=12,5%, ψ=0, iso-carga (cota inferior da incerteza amostral POF); fontes centrais: MANIFEST_RUN.json"
tau_M_pp,2.8414405550772663,2.852106423328496,2.863240548135098,0.021799993057831646,"τ_M(b) = (Alvo_M − σ̂·G_M)/D_M(π^p_uf(b), f_low_uf(b))","IBGE POF 2017-2018, microdados (desenho ESTRATO_POF × COD_UPA); matriz data/inputs/matriz_pof_ibs_v5.csv; bootstrap Rao-Wu (1988), m_h = n_h−1; bootstrap Rao-Wu UPA×ESTRATO_POF, B=500, seed 42; PROPAGA SÓ π^p_uf e f_low_uf — demais insumos fixos no central γ=12,5%, ψ=0, iso-carga (cota inferior da incerteza amostral POF); fontes centrais: MANIFEST_RUN.json"
soma_pp,32.422740927234784,32.54400782204188,32.67152476736112,0.24878384012633603,Σ(b) = τ_U(b) + τ_E(b) + τ_M(b),"IBGE POF 2017-2018, microdados (desenho ESTRATO_POF × COD_UPA); matriz data/inputs/matriz_pof_ibs_v5.csv; bootstrap Rao-Wu (1988), m_h = n_h−1; bootstrap Rao-Wu UPA×ESTRATO_POF, B=500, seed 42; PROPAGA SÓ π^p_uf e f_low_uf — demais insumos fixos no central γ=12,5%, ψ=0, iso-carga (cota inferior da incerteza amostral POF); fontes centrais: MANIFEST_RUN.json"
