uf,familias,formula,fonte
PB,1265384.70111044,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
PE,3021057.09299184,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
PI,1017663.29424671,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
PR,3961207.71884306,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
RJ,5954942.78449211,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
RN,1080431.60148902,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
RO,571682.05022796,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
RR,137535.38187254,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
RS,4155820.1172669698,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
SC,2528693.42916295,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
SE,752191.37766294,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
SP,15635512.15634337,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
TO,484676.05259392,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
