uf,ano,fundo,fundos_rs,share_alocacao,icms_medio_2021_2023,variacao_icms,natureza,formula,fonte
GO,2024,FUNDEINFRA,1481548265.1352906,0.337612052599364,22994083728.059998,1.2538044808094808,"OFICIAL (total) × CONVENCAO (alocação por UF) × DERIVADO (correção §2º, II)","fundos_rs = 3,5e9 × [ICMS_uf médio 2021-2023 ÷ Σ_{MT,MS,GO}] × [ICMS_uf(ano) ÷ ICMS_uf(média 2021-2023)]; ICMS = DCA Receitas Brutas Realizadas (contas 1.1.1.8.02.1.0/1.1.1.4.50.1.0)","Total: NT SERT/MF 01/07/2024, p. 4 (https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf); correção: LC 214/2025, art. 350, §2º, II; ICMS: SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet. FRONTEIRA OD/ADM: decomposição por fundo não publicada na NT nem separável no DCA — alocação proporcional ao ICMS é convenção declarada."
GO,2025,FUNDEINFRA,1549837694.708233,0.337612052599364,22994083728.059998,1.311596450740788,"OFICIAL (total) × CONVENCAO (alocação por UF) × DERIVADO (correção §2º, II)","fundos_rs = 3,5e9 × [ICMS_uf médio 2021-2023 ÷ Σ_{MT,MS,GO}] × [ICMS_uf(ano) ÷ ICMS_uf(média 2021-2023)]; ICMS = DCA Receitas Brutas Realizadas (contas 1.1.1.8.02.1.0/1.1.1.4.50.1.0)","Total: NT SERT/MF 01/07/2024, p. 4 (https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf); correção: LC 214/2025, art. 350, §2º, II; ICMS: SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet. FRONTEIRA OD/ADM: decomposição por fundo não publicada na NT nem separável no DCA — alocação proporcional ao ICMS é convenção declarada."
MS,2024,FUNDERSUL,1200666268.4254732,0.22407184703823235,15261086718.406668,1.5309710246905237,"OFICIAL (total) × CONVENCAO (alocação por UF) × DERIVADO (correção §2º, II)","fundos_rs = 3,5e9 × [ICMS_uf médio 2021-2023 ÷ Σ_{MT,MS,GO}] × [ICMS_uf(ano) ÷ ICMS_uf(média 2021-2023)]; ICMS = DCA Receitas Brutas Realizadas (contas 1.1.1.8.02.1.0/1.1.1.4.50.1.0)","Total: NT SERT/MF 01/07/2024, p. 4 (https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf); correção: LC 214/2025, art. 350, §2º, II; ICMS: SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet. FRONTEIRA OD/ADM: decomposição por fundo não publicada na NT nem separável no DCA — alocação proporcional ao ICMS é convenção declarada."
MS,2025,FUNDERSUL,1292165823.1710494,0.22407184703823235,15261086718.406668,1.6476422186529087,"OFICIAL (total) × CONVENCAO (alocação por UF) × DERIVADO (correção §2º, II)","fundos_rs = 3,5e9 × [ICMS_uf médio 2021-2023 ÷ Σ_{MT,MS,GO}] × [ICMS_uf(ano) ÷ ICMS_uf(média 2021-2023)]; ICMS = DCA Receitas Brutas Realizadas (contas 1.1.1.8.02.1.0/1.1.1.4.50.1.0)","Total: NT SERT/MF 01/07/2024, p. 4 (https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf); correção: LC 214/2025, art. 350, §2º, II; ICMS: SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet. FRONTEIRA OD/ADM: decomposição por fundo não publicada na NT nem separável no DCA — alocação proporcional ao ICMS é convenção declarada."
MT,2024,FETHAB,1695995748.6408582,0.43831610036240365,29852835624.47333,1.1055268412379584,"OFICIAL (total) × CONVENCAO (alocação por UF) × DERIVADO (correção §2º, II)","fundos_rs = 3,5e9 × [ICMS_uf médio 2021-2023 ÷ Σ_{MT,MS,GO}] × [ICMS_uf(ano) ÷ ICMS_uf(média 2021-2023)]; ICMS = DCA Receitas Brutas Realizadas (contas 1.1.1.8.02.1.0/1.1.1.4.50.1.0)","Total: NT SERT/MF 01/07/2024, p. 4 (https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf); correção: LC 214/2025, art. 350, §2º, II; ICMS: SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet. FRONTEIRA OD/ADM: decomposição por fundo não publicada na NT nem separável no DCA — alocação proporcional ao ICMS é convenção declarada."
MT,2025,FETHAB,2107558984.8028991,0.43831610036240365,29852835624.47333,1.3738023984193473,"OFICIAL (total) × CONVENCAO (alocação por UF) × DERIVADO (correção §2º, II)","fundos_rs = 3,5e9 × [ICMS_uf médio 2021-2023 ÷ Σ_{MT,MS,GO}] × [ICMS_uf(ano) ÷ ICMS_uf(média 2021-2023)]; ICMS = DCA Receitas Brutas Realizadas (contas 1.1.1.8.02.1.0/1.1.1.4.50.1.0)","Total: NT SERT/MF 01/07/2024, p. 4 (https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf); correção: LC 214/2025, art. 350, §2º, II; ICMS: SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet. FRONTEIRA OD/ADM: decomposição por fundo não publicada na NT nem separável no DCA — alocação proporcional ao ICMS é convenção declarada."
