cod_ibge,uf,ano
1200179,AC,2022
1200179,AC,2023
1200203,AC,2019
1200203,AC,2020
1200203,AC,2021
1200203,AC,2022
1200203,AC,2023
1200252,AC,2019
1200252,AC,2020
1200252,AC,2021
1200252,AC,2022
1200252,AC,2023
1200302,AC,2019
1200302,AC,2020
1200302,AC,2021
1200302,AC,2022
1200302,AC,2023
1200328,AC,2019
1200328,AC,2020
1200328,AC,2021
1200328,AC,2022
1200328,AC,2023
1200336,AC,2019
1200336,AC,2020
1200336,AC,2021
1200336,AC,2022
1200336,AC,2023
1200344,AC,2019
1200344,AC,2020
1200344,AC,2021
1200344,AC,2022
1200344,AC,2023
1200351,AC,2019
1200351,AC,2020
1200351,AC,2021
1200351,AC,2022
1200351,AC,2023
1200385,AC,2019
1200385,AC,2020
1200385,AC,2021
1200385,AC,2022
1200385,AC,2023
1200393,AC,2019
1200393,AC,2020
1200393,AC,2021
1200393,AC,2022
1200393,AC,2023
1200401,AC,2019
1200401,AC,2020
1200401,AC,2021
1200401,AC,2022
1200401,AC,2023
1200427,AC,2019
1200427,AC,2020
1200427,AC,2021
1200427,AC,2022
1200427,AC,2023
1200435,AC,2019
1200435,AC,2020
1200435,AC,2021
1200435,AC,2022
1200435,AC,2023
1200450,AC,2019
1200450,AC,2020
1200450,AC,2021
1200450,AC,2022
1200450,AC,2023
1200500,AC,2019
1200500,AC,2020
1200500,AC,2021
1200500,AC,2022
1200500,AC,2023
1200609,AC,2019
1200609,AC,2020
1200609,AC,2021
1200609,AC,2022
1200609,AC,2023
1200708,AC,2019
1200708,AC,2020
1200708,AC,2021
1200708,AC,2022
1200708,AC,2023
1200807,AC,2019
1200807,AC,2020
1200807,AC,2021
1200807,AC,2022
1200807,AC,2023
1300029,AM,2019
1300029,AM,2020
1300029,AM,2021
1300029,AM,2022
1300029,AM,2023
1300060,AM,2019
1300060,AM,2020
1300060,AM,2021
1300060,AM,2022
1300060,AM,2023
1300086,AM,2019
1300086,AM,2020
1300086,AM,2021
1300086,AM,2022
1300086,AM,2023
1300102,AM,2019
1300102,AM,2020
1300102,AM,2021
1300102,AM,2022
1300102,AM,2023
1300144,AM,2019
1300144,AM,2020
1300144,AM,2021
1300144,AM,2022
1300144,AM,2023
1300201,AM,2019
1300201,AM,2020
1300201,AM,2021
1300201,AM,2022
1300201,AM,2023
1300300,AM,2019
1300300,AM,2020
1300300,AM,2021
1300300,AM,2022
1300300,AM,2023
1300409,AM,2019
1300409,AM,2020
1300409,AM,2021
1300409,AM,2022
1300409,AM,2023
1300508,AM,2019
1300508,AM,2020
1300508,AM,2021
1300508,AM,2022
1300508,AM,2023
1300607,AM,2019
1300607,AM,2020
1300607,AM,2021
1300607,AM,2022
1300607,AM,2023
1300631,AM,2019
1300631,AM,2020
1300631,AM,2021
1300631,AM,2022
1300631,AM,2023
1300680,AM,2019
1300680,AM,2020
1300680,AM,2021
1300680,AM,2022
1300680,AM,2023
1300706,AM,2019
1300706,AM,2020
1300706,AM,2021
1300706,AM,2022
1300706,AM,2023
1300805,AM,2019
1300805,AM,2020
1300805,AM,2021
1300805,AM,2022
1300805,AM,2023
1300839,AM,2019
1300839,AM,2020
1300839,AM,2021
1300839,AM,2022
1300839,AM,2023
1300904,AM,2019
1300904,AM,2020
1300904,AM,2021
1300904,AM,2022
1300904,AM,2023
1301001,AM,2019
1301001,AM,2020
1301001,AM,2021
1301001,AM,2022
1301001,AM,2023
1301100,AM,2019
1301100,AM,2020
1301100,AM,2021
1301100,AM,2022
1301100,AM,2023
1301159,AM,2019
1301159,AM,2020
1301159,AM,2021
1301159,AM,2022
1301159,AM,2023
1301209,AM,2019
1301209,AM,2020
1301209,AM,2021
1301209,AM,2022
1301209,AM,2023
1301308,AM,2019
1301308,AM,2020
1301308,AM,2021
1301308,AM,2022
1301308,AM,2023
1301407,AM,2019
1301407,AM,2020
1301407,AM,2021
1301407,AM,2022
1301407,AM,2023
1301506,AM,2019
1301506,AM,2020
1301506,AM,2021
1301506,AM,2022
1301506,AM,2023
1301605,AM,2019
1301605,AM,2020
1301605,AM,2021
1301605,AM,2022
1301605,AM,2023
1301654,AM,2019
1301654,AM,2020
1301654,AM,2021
1301654,AM,2022
1301654,AM,2023
1301704,AM,2019
1301704,AM,2020
1301704,AM,2021
1301704,AM,2022
1301704,AM,2023
1301803,AM,2019
1301803,AM,2020
1301803,AM,2021
1301803,AM,2022
1301803,AM,2023
1301852,AM,2019
1301852,AM,2020
1301852,AM,2021
1301852,AM,2022
1301852,AM,2023
1301902,AM,2019
1301902,AM,2020
1301902,AM,2021
1301902,AM,2022
1301902,AM,2023
1301951,AM,2019
1301951,AM,2020
1301951,AM,2021
1301951,AM,2022
1301951,AM,2023
1302009,AM,2019
1302009,AM,2020
1302009,AM,2021
1302009,AM,2022
1302009,AM,2023
1302108,AM,2019
1302108,AM,2020
1302108,AM,2021
1302108,AM,2022
1302108,AM,2023
1302207,AM,2019
1302207,AM,2020
1302207,AM,2021
1302207,AM,2022
1302207,AM,2023
1302306,AM,2019
1302306,AM,2020
1302306,AM,2021
1302306,AM,2022
1302306,AM,2023
1302405,AM,2020
1302405,AM,2021
1302405,AM,2022
1302405,AM,2023
1302504,AM,2019
1302504,AM,2020
1302504,AM,2021
1302504,AM,2022
1302504,AM,2023
1302553,AM,2019
1302553,AM,2020
1302553,AM,2021
1302553,AM,2022
1302553,AM,2023
1302603,AM,2019
1302603,AM,2020
1302603,AM,2021
1302603,AM,2022
1302603,AM,2023
1302702,AM,2019
1302702,AM,2020
1302702,AM,2021
1302702,AM,2022
1302702,AM,2023
1302801,AM,2019
1302801,AM,2020
1302801,AM,2021
1302801,AM,2022
1302801,AM,2023
1302900,AM,2019
1302900,AM,2020
1302900,AM,2021
1302900,AM,2022
1302900,AM,2023
1303007,AM,2019
1303007,AM,2020
1303007,AM,2021
1303007,AM,2022
1303007,AM,2023
1303106,AM,2019
1303106,AM,2020
1303106,AM,2021
1303106,AM,2022
1303106,AM,2023
1303205,AM,2019
1303205,AM,2020
1303205,AM,2021
1303205,AM,2022
1303205,AM,2023
1303304,AM,2019
1303304,AM,2020
1303304,AM,2021
1303304,AM,2022
1303304,AM,2023
1303403,AM,2019
1303403,AM,2020
1303403,AM,2021
1303403,AM,2022
1303403,AM,2023
1303502,AM,2019
1303502,AM,2020
1303502,AM,2021
1303502,AM,2022
1303502,AM,2023
1303536,AM,2019
1303536,AM,2020
1303536,AM,2021
1303536,AM,2022
1303536,AM,2023
1303569,AM,2019
1303569,AM,2020
1303569,AM,2021
1303569,AM,2022
1303569,AM,2023
1303601,AM,2019
1303601,AM,2020
1303601,AM,2021
1303601,AM,2022
1303601,AM,2023
